Date,close,high,low,open,volume,year,month,day,day_of_week
1986-06-25,0.0659832954406738,0.0675795618446251,0.0659832954406738,0.067047473043308,15235200,1986,6,25,2
1986-06-26,0.0638549327850341,0.0665153764812084,0.0638549327850341,0.0659832877419735,19152000,1986,6,26,3
1986-06-27,0.0633228495717048,0.0643870271430406,0.0627907607860369,0.0638549383573727,10396800,1986,6,27,4
1986-06-30,0.0654511973261833,0.0670474635029989,0.0627907536981572,0.0633228424237624,62352000,1986,6,30,0
1986-07-01,0.0654511973261833,0.0654511973261833,0.0649191086005781,0.0654511973261833,47577600,1986,7,1,1
1986-07-02,0.0654511973261833,0.0654511973261833,0.0649191086005781,0.0654511973261833,52617600,1986,7,2,2
1986-07-03,0.0665153861045837,0.0670474749208006,0.0659832972883668,0.0659832972883668,14140800,1986,7,3,3
1986-07-07,0.0638549327850341,0.0665153764812084,0.0638549327850341,0.0665153764812084,14054400,1986,7,7,0
1986-07-08,0.0622586607933044,0.0638549268629672,0.0617259600924946,0.0638549268629672,14256000,1986,7,8,1
1986-07-09,0.0595976114273071,0.0622586671597829,0.0590655226830089,0.0622586671597829,46137600,1986,7,9,2
1986-07-10,0.0580013319849967,0.060129686477471,0.0553408888694039,0.0595975978543525,46886400,1986,7,10,3
1986-07-11,0.0595976114273071,0.0606617889159035,0.0580013451944125,0.0580013451944125,17395200,1986,7,11,4
1986-07-14,0.0587994642555713,0.0601296881336288,0.058001333582533,0.058001333582533,28598400,1986,7,14,0
1986-07-15,0.0595976114273071,0.0606617889159035,0.0580013451944125,0.0587994760272367,13190400,1986,7,15,1
1986-07-16,0.0617259666323661,0.0617259666323661,0.0601297003935788,0.0601297003935788,9360000,1986,7,16,2
1986-07-17,0.0627907365560531,0.0627907365560531,0.0611938588042278,0.0617259473845708,6940800,1986,7,17,3
1986-07-18,0.0633228495717048,0.0638549383573727,0.0611938824180009,0.0627907607860369,12326400,1986,7,18,4
1986-07-21,0.0633228495717048,0.0643870271430406,0.0633228495717048,0.0633228495717048,3513600,1986,7,21,0
1986-07-22,0.0654511973261833,0.0654511973261833,0.0633228424237624,0.0633228424237624,10512000,1986,7,22,1
1986-07-23,0.0638549327850341,0.0665153764812084,0.0638549327850341,0.0654511990027387,20793600,1986,7,23,2
1986-07-24,0.0659832954406738,0.067047473043308,0.0649191178380396,0.0649191178380396,14140800,1986,7,24,3
1986-07-25,0.0665153861045837,0.0670474749208006,0.0659832972883668,0.0659832972883668,20448000,1986,7,25,4
1986-07-28,0.0649190992116928,0.0665153651576494,0.0649190992116928,0.0665153651576494,11808000,1986,7,28,0
1986-07-29,0.0633228495717048,0.0654512047143764,0.062258672000369,0.0649191159287085,14054400,1986,7,29,1
1986-07-30,0.0611938871443271,0.0633228544624624,0.0590655318372715,0.0633228544624624,26409600,1986,7,30,2
1986-07-31,0.0606617890298366,0.0617259665204317,0.0606617890298366,0.0611938777751342,15638400,1986,7,31,3
1986-08-01,0.060129702091217,0.0611938796137868,0.0595976133299321,0.0606617908525019,12902400,1986,8,1,4
1986-08-04,0.060129702091217,0.060129702091217,0.0585334358073624,0.060129702091217,12441600,1986,8,4,0
1986-08-05,0.0595976114273071,0.0606617889159035,0.0595976114273071,0.0601297001716053,2822400,1986,8,5,1
1986-08-06,0.0590655095875263,0.0601296868401827,0.0580013323348698,0.0595975982138545,18316800,1986,8,6,2
1986-08-07,0.0585333965718746,0.0595975733811166,0.0580013081672536,0.0590654849764956,3657600,1986,8,7,3
1986-08-08,0.0590655095875263,0.0601296868401827,0.0585334209611981,0.0585334209611981,4147200,1986,8,8,4
1986-08-11,0.0611938871443271,0.061725975971091,0.0601297094907993,0.0601297094907993,7948800,1986,8,11,0
1986-08-12,0.0627907365560531,0.0627907365560531,0.0611938588042278,0.0611938588042278,9993600,1986,8,12,1
1986-08-13,0.0633228495717048,0.0633228495717048,0.062258672000369,0.0627907607860369,6883200,1986,8,13,2
1986-08-14,0.0649190992116928,0.065451187860345,0.0633228332657361,0.0633228332657361,20131200,1986,8,14,3
1986-08-15,0.0651851445436477,0.0654511865791434,0.0643870093026702,0.0649190979409068,6105600,1986,8,15,4
1986-08-18,0.0643870159983635,0.0654511933855019,0.0643870159983635,0.0651851513223402,12787200,1986,8,18,0
1986-08-19,0.0643870159983635,0.0646530626287709,0.063322838611225,0.0643870159983635,20390400,1986,8,19,1
1986-08-20,0.0638549327850341,0.064387021524269,0.0638549327850341,0.064387021524269,20764800,1986,8,20,2
1986-08-21,0.0638549327850341,0.0649191102635038,0.0638549327850341,0.0638549327850341,49536000,1986,8,21,3
1986-08-22,0.0627907365560531,0.0643870022970823,0.0617259473845708,0.0638549137167392,5760000,1986,8,22,4
1986-08-25,0.0627907365560531,0.0627907365560531,0.0617259473845708,0.0627907365560531,2419200,1986,8,25,0
1986-08-26,0.0622586607933044,0.062790749483192,0.0622586607933044,0.062790749483192,10857600,1986,8,26,1
1986-08-27,0.0622586607933044,0.062790749483192,0.0617259600924946,0.0622586607933044,9532800,1986,8,27,2
1986-08-28,0.0622586607933044,0.062790749483192,0.0622586607933044,0.0622586607933044,3427200,1986,8,28,3
1986-08-29,0.0606617890298366,0.0627907560220127,0.0595976115392415,0.0622586672767152,25430400,1986,8,29,4
1986-09-02,0.0590655095875263,0.0606617754665109,0.0582673743644114,0.0606617754665109,5212800,1986,9,2,1
1986-09-03,0.0574692450463771,0.0585334223238067,0.0558729791302328,0.0585334223238067,18316800,1986,9,3,2
1986-09-04,0.0622586607933044,0.0622586607933044,0.058533427953169,0.058533427953169,39427200,1986,9,4,3
1986-09-05,0.0649190992116928,0.0649190992116928,0.0617259553089048,0.0622586559684317,26352000,1986,9,5,4
1986-09-08,0.0643870159983635,0.0654511933855019,0.0643870159983635,0.0649191046919327,9619200,1986,9,8,0
1986-09-09,0.0654511973261833,0.0670474635029989,0.0643870198749729,0.0643870198749729,37526400,1986,9,9,1
